,Unnamed: 0,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity,Larger,Duration
52,117,1,4,A,5,4.391,0,0,Young,757,767,11,830.9,252.5,819.0,224.4,0.75,81,False,0.009259259259259259
53,118,1,4,A,6,0.83,1,0,Young,511,529,19,862.9,270.8,895.6,257.2,0.7,83,False,0.008433734939759036
54,119,1,4,A,7,6.302,1,0,Young,957,969,13,899.2,262.8,858.5,268.6,0.77,76,False,0.010131578947368422
55,120,1,4,A,8,6.631,1,0,Young,156,214,59,793.9,323.1,968.0,328.3,3.24,276,False,0.01173913043478261
56,121,1,4,A,9,1.048,1,0,Young,60,77,18,846.1,238.3,786.5,263.2,1.28,104,False,0.012307692307692308
57,122,1,4,A,10,4.84,0,0,Young,217,250,34,791.7,259.0,824.3,251.7,0.64,145,False,0.004413793103448276
58,123,1,4,A,11,1.912,1,0,Young,626,642,17,837.7,257.8,797.0,248.0,0.8,66,False,0.012121212121212121
59,124,1,4,A,12,0.759,1,0,Young,971,989,19,802.4,255.0,861.6,257.1,1.1,97,False,0.011340206185567012
60,125,1,4,A,13,3.355,1,0,Young,364,378,15,830.5,293.6,865.5,313.7,0.83,79,False,0.01050632911392405
61,126,1,4,A,14,1.91,1,0,Young,751,771,21,849.3,302.5,872.3,248.8,1.44,122,False,0.01180327868852459
62,127,1,4,A,15,0.819,0,0,Young,234,257,24,850.1,293.7,864.7,360.3,1.72,173,False,0.009942196531791908
63,128,1,4,A,16,0.652,1,0,Young,622,645,24,865.6,370.0,897.5,346.8,0.84,99,False,0.008484848484848484
64,129,1,5,dA,1,3.243,0,0,Young,210,245,36,791.8,279.1,859.6,286.3,1.27,182,False,0.006978021978021978
65,130,1,5,dA,2,4.256,1,0,Young,623,653,31,872.1,267.5,867.5,239.0,0.74,122,False,0.0060655737704918035
66,131,1,5,dA,3,0.833,0,0,Young,962,978,17,870.3,223.8,912.9,204.3,0.94,96,False,0.009791666666666666
67,132,1,5,dA,4,1.529,1,0,Young,161,185,25,795.2,244.8,902.6,258.5,2.03,185,False,0.010972972972972972
68,133,1,5,dA,5,9.392,0,0,Young,721,732,12,882.8,275.2,899.9,258.7,0.53,63,False,0.008412698412698413
69,134,1,5,dA,6,1.193,0,0,Young,-31,26,58,860.5,200.5,946.3,350.3,4.16,244,False,0.017049180327868854
70,135,1,5,dA,7,0.759,1,0,Young,196,243,48,953.5,372.1,876.2,254.7,3.33,344,False,0.009680232558139535
71,136,1,5,dA,8,1.648,0,0,Young,497,513,17,871.6,233.2,817.1,231.2,1.02,92,False,0.011086956521739131
72,137,1,5,dA,9,1.426,0,0,Young,788,838,51,822.0,240.7,838.7,364.7,3.18,160,False,0.019875
73,138,1,5,dA,10,2.679,0,0,Young,142,200,59,856.3,101.8,962.8,276.3,4.91,404,False,0.012153465346534654
74,139,1,5,dA,11,5.934,0,0,Young,302,342,41,968.3,290.9,979.0,244.6,1.21,227,False,0.005330396475770925
75,140,1,5,dA,12,1.52,1,0,Young,849,858,10,938.2,269.2,911.6,263.8,0.52,63,False,0.008253968253968255
76,141,1,5,dA,13,0.573,1,0,Young,965,970,6,919.4,269.9,923.8,284.8,0.39,51,False,0.007647058823529412
77,142,1,5,dA,14,3.445,0,0,Young,302,349,48,841.9,257.3,867.7,384.0,3.26,338,False,0.009644970414201183
78,143,1,5,dA,15,2.761,0,0,Young,514,572,59,878.4,412.7,857.4,209.1,5.21,430,False,0.012116279069767442
79,144,1,5,dA,16,4.603,1,0,Young,919,1022,104,855.5,220.0,874.5,709.9,12.12,400,False,0.030299999999999997
80,145,1,6,AdV,1,5.656,1,2,Young,179,231,53,832.5,265.1,930.2,381.5,3.48,243,False,0.014320987654320988
